kana,kanji,pos,loanword,trans
ヨーロッパ,欧羅巴,noun,Europe​,Europe​
フランス,仏蘭西,noun,France,France
スペイン,西班牙,noun,Spain,Spain
マドリード,馬徳里,noun,Madrid,Madrid (Spain)​
とうきょう,東京,noun,,Tyoko
おがさわらしょとう,小笠原諸島,noun,,Bonin Islands
